"Andaman & Nicobar Islands","55188","404","67","0"
"Andhra Pradesh","6482654","16913","11944","0"
"Arunachal Pradesh","152426","3144","911","2"
"Assam","2719452","5743","4131","0"
"Bihar","184955","3175","356","2"
"Chandigarh","87972","114","1","0"
"Chhatisgarh","5116606","141310","115153","0"
"Dadar & Nagar Haveli","64184","297","16","0"
"Daman & Diu","36239","37","4","0"
"Delhi","98833","577","2","0"
"Goa","5116606","653","75","2"
"Gujrat","15591964","37801","3502","2"
"Haryana","2599650","6887","904","0"
"Himachal Pradesh","440095","95","9","0"
"Jammu & Kashmir","480490","226","0","0"
"Jharkhand","3339535","92770","42047","1"
"Karnataka","10163735","6529","1118","0"
"Kerala","2645332","1194","317","2"
"Lakshwadeep","430","1","0","0"
"Madhya Pradesh","9896156","46176","15554","3"
"Maharashtra","16935392","18133","5929","19"
"Manipur","115615","80","22","0"
"Meghalaya","421145","16433","14974","11"
"Mizoram","213175","5710","4978","0"
"Nagaland","253753","394","188","1"
"Orisha","6659013","352140","297554","25"
"Puducherry","141894","59","13","0"
"Punjab","2429949","808","12","0"
"Rajasthan","6603580","6837","377","0"
"Sikkim","11586","12","3","0"
"Tamil Nadu","8451790","5449","197","0"
"Telangana","3139093","2688","2170","0"
"Tripura","375626","7040","6572","6"
"Uttar Pradesh","4722321","32345","159","0"
"Uttarakhand","359954","532","14","0"
"West Bengal","9980887","30008","4632","29"
