"Andaman & Nicobar Islands","57452","485","140","0"
"Andhra Pradesh","6720251","23613","17443","0"
"Arunachal Pradesh","151590","3144","911","2"
"Assam","3032997","7826","5686","6"
"Bihar","186129","5205","895","0"
"Chandigarh","106173","157","0","0"
"Chhatisgarh","4830145","148220","121503","61"
"Dadar & Nagar Haveli","62294","375","30","0"
"Daman & Diu","35873","48","7","0"
"Delhi","133312","31","0","0"
"Goa","440341","742","130","0"
"Gujrat","14785016","44783","6298","6"
"Haryana","2895273","7866","552","0"
"Himachal Pradesh","449911","121","19","0"
"Jammu & Kashmir","499988","242","11","0"
"Jharkhand","2959427","141414","83232","15"
"Karnataka","9875331","11078","1746","0"
"Kerala","2728755","1547","419","2"
"Lakshwadeep","404","2","0","0"
"Madhya Pradesh","9635854","69106","22304","3"
"Maharashtra","17812209","23983","7815","26"
"Manipur","94115","122","58","0"
"Meghalaya","468254","35147","31867","45"
"Mizoram","267747","7583","5907","9"
"Nagaland","252232","828","316","0"
"Orisha","7188885","449697","389332","77"
"Puducherry","142059","76","11","0"
"Punjab","2691331","693","8","0"
"Rajasthan","9756048","12741","1031","5"
"Sikkim","8099","15","5","0"
"Tamil Nadu","8458647","4341","242","0"
"Telangana","3460192","3512","2617","1"
"Tripura","351392","10546","9545","14"
"Uttar Pradesh","4816652","39238","158","0"
"Uttarakhand","375835","967","47","0"
"West Bengal","9215299","35236","5928","59"
