"Andaman & Nicobar Islands","74905","557","109","0"
"Andhra Pradesh","9853526","21077","15511","0"
"Arunachal Pradesh","123571","6082","2338","9"
"Assam","3684068","14540","11210","11"
"Bihar","183918","2043","699","0"
"Chandigarh","45019","114","0","0"
"Chhatisgarh","3942498","128993","108874","53"
"Dadar & Nagar Haveli","71755","669","90","1"
"Daman & Diu","34288","56","4","0"
"Delhi","179819","98","0","0"
"Goa","431754","824","42","0"
"Gujrat","13440364","41608","6253","16"
"Haryana","2524246","4485","45","1"
"Himachal Pradesh","492263","102","1","0"
"Jammu & Kashmir","452223","291","21","0"
"Jharkhand","3394634","103735","46448","8"
"Karnataka","9805708","14794","1329","2"
"Kerala","2675482","1751","305","6"
"Lakshwadeep","132","0","0","0"
"Madhya Pradesh","10285880","96879","41638","26"
"Maharashtra","17606275","53385","25770","68"
"Manipur","66236","145","72","0"
"Meghalaya","437741","39168","37149","73"
"Mizoram","330882","23145","21083","31"
"Nagaland","234653","1936","647","2"
"Orisha","6352249","395035","342280","89"
"Puducherry","180922","79","3","0"
"Punjab","3092693","1036","14","0"
"Rajasthan","8810139","15118","603","4"
"Sikkim","7970","35","18","0"
"Tamil Nadu","9002019","8729","339","0"
"Telangana","3600200","5189","4602","0"
"Tripura","606791","51240","49653","96"
"Uttar Pradesh","4834946","41612","326","0"
"Uttarakhand","388028","1171","89","0"
"West Bengal","6818534","26484","4981","66"
